policy,controller_id,controller,alpha,unsafe_rate,unsafe_ci_low,unsafe_ci_high,success_rate,success_ci_low,success_ci_high,terminal_rate,terminal_ci_low,terminal_ci_high,mean_blocked,blocked_ci_low,blocked_ci_high,mean_malformed_executed,malformed_ci_low,malformed_ci_high,mean_trace_len,trace_len_ci_low,trace_len_ci_high,mean_steps,steps_ci_low,steps_ci_high
disclosure,no_guard,No guard,0.6,0.2522,0.2403558602562404,0.26442462679994466,0.155,0.1452337348953928,0.16529599889953792,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.2064,1.1777757809609428,1.235024219039057,12.7936,12.764975780960942,12.822224219039057,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.6,0.2522,0.2403558602562404,0.26442462679994466,0.155,0.1452337348953928,0.16529599889953792,0.0,0.0,0.000767730137580694,1.2064,1.1777757809609428,1.235024219039057,0.0,0.0,0.0,12.7936,12.764975780960942,12.822224219039057,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.6,0.0,0.0,0.000767730137580694,0.2086,0.19756353995148648,0.22008389317269558,0.0,0.0,0.000767730137580694,2.397,2.35787661838596,2.4361233816140397,0.0,0.0,0.0,11.603,11.56387661838596,11.64212338161404,14.0,14.0,14.0
disclosure,no_guard,No guard,0.7,0.3166,0.3038516851196019,0.32962991829486277,0.0806,0.07337246466207123,0.08847150737733148,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.3918,1.361101893737417,1.4224981062625828,12.6082,12.577501893737418,12.638898106262582,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.7,0.3166,0.3038516851196019,0.32962991829486277,0.0806,0.07337246466207123,0.08847150737733148,0.0,0.0,0.000767730137580694,1.3918,1.361101893737417,1.4224981062625828,0.0,0.0,0.0,12.6082,12.577501893737418,12.638898106262582,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.7,0.0,0.0,0.000767730137580694,0.1174,0.10876981303778628,0.12661765406349046,0.0,0.0,0.000767730137580694,2.8038,2.7623354311495563,2.8452645688504434,0.0,0.0,0.0,11.1962,11.154735431149556,11.237664568850443,14.0,14.0,14.0
disclosure,no_guard,No guard,0.8,0.37,0.3567219180858147,0.38347769174995633,0.0478,0.042225690947536774,0.054068644188891214,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.6144,1.5810269773725445,1.6477730226274556,12.3856,12.352226977372545,12.418973022627455,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.8,0.37,0.3567219180858147,0.38347769174995633,0.0478,0.042225690947536774,0.054068644188891214,0.0,0.0,0.000767730137580694,1.6144,1.5810269773725445,1.6477730226274556,0.0,0.0,0.0,12.3856,12.352226977372545,12.418973022627455,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.8,0.0,0.0,0.000767730137580694,0.069,0.062300407664844036,0.07636137571375051,0.0,0.0,0.000767730137580694,3.2016,3.1584208595276007,3.2447791404723993,0.0,0.0,0.0,10.7984,10.755220859527602,10.8415791404724,14.0,14.0,14.0
disclosure,no_guard,No guard,0.9,0.3922,0.37875435731067203,0.4058111653069904,0.0184,0.015027678088938907,0.02251179957957882,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,1.8146,1.779611441562232,1.849588558437768,12.1854,12.150411441562232,12.220388558437767,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,0.9,0.3922,0.37875435731067203,0.4058111653069904,0.0184,0.015027678088938907,0.02251179957957882,0.0,0.0,0.000767730137580694,1.8146,1.779611441562232,1.849588558437768,0.0,0.0,0.0,12.1854,12.150411441562232,12.220388558437767,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,0.9,0.0,0.0,0.000767730137580694,0.0272,0.023041255396114943,0.032084710221981366,0.0,0.0,0.000767730137580694,3.6216,3.575958036633107,3.6672419633668927,0.0,0.0,0.0,10.3784,10.332758036633106,10.424041963366893,14.0,14.0,14.0
disclosure,no_guard,No guard,1.0,0.3738,0.36049111589012095,0.38730265919660456,0.0036,0.0022784219199114787,0.005683780560678634,0.0,0.0,0.000767730137580694,0.0,0.0,0.0,2.019,1.9834102779704192,2.054589722029581,11.981,11.945410277970419,12.01658972202958,14.0,14.0,14.0
disclosure,schema_guard,Schema guard,1.0,0.3738,0.36049111589012095,0.38730265919660456,0.0036,0.0022784219199114787,0.005683780560678634,0.0,0.0,0.000767730137580694,2.019,1.9834102779704192,2.054589722029581,0.0,0.0,0.0,11.981,11.945410277970419,12.01658972202958,14.0,14.0,14.0
disclosure,fsm_guard,Finite-state guard,1.0,0.0,0.0,0.000767730137580694,0.0062,0.004371360588064539,0.008786849695810154,0.0,0.0,0.000767730137580694,4.0012,3.9546281302777193,4.047771869722281,0.0,0.0,0.0,9.9988,9.95222813027772,10.04537186972228,14.0,14.0,14.0
